AREA,COUNT,MAJORITY,MAX,MEAN,MEDIAN,MIN,MINORITY,RANGE,STD,SUM,Unique,VARIETY
22999999.99999999,575,0,0,0.0,0,0,0,0,0.0,0.0,223,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,224,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,225,1
4999999.999999997,125,0,0,0.0,0,0,0,0,0.0,0.0,226,1
22999999.99999999,575,0,0,0.0,0,0,0,0,0.0,0.0,227,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,228,1
23119999.99999999,578,0,0,0.0,0,0,0,0,0.0,0.0,229,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,230,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,231,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,232,1
22999999.99999999,575,0,2,0.020869565217391306,0,0,2,2,0.20323285089379536,12.0,233,2
23079999.99999999,577,0,2,0.01733102253032929,0,0,2,2,0.18536903926684142,10.0,234,2
23079999.99999999,577,0,2,0.02079722703639515,0,0,2,2,0.2028840294857802,12.0,235,2
23039999.99999999,576,0,2,0.09027777777777778,0,0,2,2,0.415217386913243,52.0,236,2
23079999.99999999,577,0,2,0.03466204506065858,0,0,2,2,0.26100312786158336,20.0,237,2
23039999.99999999,576,0,2,0.0763888888888889,0,0,2,2,0.3833308172220162,44.0,238,2
23159999.99999999,579,0,2,0.8566493955094991,0,0,2,2,0.989671967973332,496.0,239,2
23039999.99999999,576,0,2,0.5486111111111112,0,0,2,2,0.8923273339910945,316.0,240,2
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,241,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,242,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,243,1
23119999.99999999,578,0,0,0.0,0,0,0,0,0.0,0.0,244,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,245,1
22999999.99999999,575,0,0,0.0,0,0,0,0,0.0,0.0,246,1
12879999.999999993,322,0,0,0.0,0,0,0,0,0.0,0.0,247,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,248,1
23079999.99999999,577,0,2,0.02079722703639515,0,0,2,2,0.2028840294857802,12.0,249,2
22959999.99999999,574,0,0,0.0,0,0,0,0,0.0,0.0,250,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,251,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,252,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,253,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,254,1
23039999.99999999,576,0,2,0.0763888888888889,0,0,2,2,0.3833308172220162,44.0,255,2
22999999.99999999,575,0,2,0.18782608695652173,0,0,2,2,0.5834154051545474,108.0,256,2
23199999.99999999,580,0,0,0.0,0,0,0,0,0.0,0.0,257,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,258,1
23039999.99999999,576,0,2,0.041666666666666664,0,0,2,2,0.2856522750167102,24.0,259,2
23039999.99999999,576,0,2,0.003472222222222222,0,0,2,2,0.08326096394640138,2.0,260,2
23039999.99999999,576,0,2,0.11805555555555555,0,0,2,2,0.47135336735148103,68.0,261,2
23159999.99999999,579,0,0,0.0,0,0,0,0,0.0,0.0,262,1
22999999.99999999,575,0,0,0.0,0,0,0,0,0.0,0.0,263,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,264,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,265,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,266,1
23119999.99999999,578,0,0,0.0,0,0,0,0,0.0,0.0,267,1
14999999.999999993,375,0,0,0.0,0,0,0,0,0.0,0.0,268,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,269,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,270,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,271,1
23079999.99999999,577,0,2,0.0034662045060658577,0,0,2,2,0.08318890814558058,2.0,272,2
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,273,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,274,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,275,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,276,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,277,1
23039999.99999999,576,0,2,0.013888888888888888,0,0,2,2,0.1660869547652972,8.0,278,2
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,279,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,280,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,281,1
23039999.99999999,576,0,2,0.06597222222222222,0,0,2,2,0.35720037841456187,38.0,282,2
23079999.99999999,577,0,2,0.01386481802426343,0,0,2,2,0.16594397509304434,8.0,283,2
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,284,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,285,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,286,1
22999999.99999999,575,0,0,0.0,0,0,0,0,0.0,0.0,287,1
23119999.99999999,578,0,0,0.0,0,0,0,0,0.0,0.0,288,1
39999.99999999998,1,0,0,0.0,0,0,0,0,0.0,0.0,289,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,290,1
22999999.99999999,575,0,0,0.0,0,0,0,0,0.0,0.0,291,1
23119999.99999999,578,0,0,0.0,0,0,0,0,0.0,0.0,292,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,293,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,294,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,295,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,296,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,297,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,298,1
23039999.99999999,576,0,2,0.024305555555555556,0,0,2,2,0.21913546285402302,14.0,299,2
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,300,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,301,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,302,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,303,1
22999999.99999999,575,0,0,0.0,0,0,0,0,0.0,0.0,304,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,305,1
23039999.99999999,576,0,2,0.013888888888888888,0,0,2,2,0.1660869547652972,8.0,306,2
23039999.99999999,576,0,2,0.017361111111111112,0,0,2,2,0.18552847232489647,10.0,307,2
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,308,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,309,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,310,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,311,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,312,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,313,1
23039999.99999999,576,0,2,0.04861111111111111,0,0,2,2,0.30799217863245393,28.0,314,2
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,315,1
23039999.99999999,576,0,2,0.006944444444444444,0,0,2,2,0.11764634962567651,4.0,316,2
23039999.99999999,576,0,2,0.1875,0,0,2,2,0.582961190818051,108.0,317,2
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,318,1
22999999.99999999,575,0,2,0.11826086956521739,0,0,2,2,0.4717373271854936,68.0,319,2
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,320,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,321,1
22999999.99999999,575,0,0,0.0,0,0,0,0,0.0,0.0,322,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,323,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,324,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,325,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,326,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,327,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,328,1
23039999.99999999,576,0,2,0.03125,0,0,2,2,0.24803918541230538,18.0,329,2
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,330,1
23119999.99999999,578,0,2,0.04152249134948097,0,0,2,2,0.28516813533614555,24.0,331,2
23039999.99999999,576,0,2,0.003472222222222222,0,0,2,2,0.08326096394640138,2.0,332,2
23039999.99999999,576,0,2,0.024305555555555556,0,0,2,2,0.21913546285402302,14.0,333,2
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,334,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,335,1
23079999.99999999,577,0,0,0.0,0,0,0,0,0.0,0.0,336,1
23039999.99999999,576,0,0,0.0,0,0,0,0,0.0,0.0,337,1
22999999.99999999,575,0,0,0.0,0,0,0,0,0.0,0.0,338,1
