PROT_NUMBE,BLOCK_NUMB,PROT_NUM_BLOCK_NUM,Unique,Shape_Length,Shape_Area,bounds
NH17-02, 6437,NH17-02 6437,160,19206.359536527885,23054873.568085164,"-80.191,31.582,-80.140,31.625"
NH17-02, 6438,NH17-02 6438,161,19206.173877088844,23054427.94677771,"-80.140,31.581,-80.089,31.625"
NH17-02, 6439,NH17-02 6439,162,19205.97722817667,23053955.95159645,"-80.089,31.581,-80.038,31.625"
NH17-02, 6440,NH17-02 6440,163,19205.76972393284,23053457.90961233,"-80.039,31.581,-79.988,31.624"
NH17-02, 6469,NH17-02 6469,164,17096.66667461903,19132267.886523515,"-81.099,31.541,-81.051,31.585"
NH17-02, 6470,NH17-02 6470,165,19207.839456233196,23058454.319416523,"-81.051,31.541,-81.000,31.585"
NH17-02, 6471,NH17-02 6471,166,19207.839438350624,23058439.798173323,"-81.000,31.541,-80.949,31.585"
NH17-02, 6472,NH17-02 6472,167,19207.82851610472,23058413.579952713,"-80.949,31.541,-80.899,31.585"
NH17-02, 6473,NH17-02 6473,168,19207.80662548922,23058361.03435215,"-80.899,31.541,-80.848,31.585"
NH17-02, 6476,NH17-02 6476,169,19207.675415157977,23058046.074777614,"-80.747,31.541,-80.696,31.584"
NH17-02, 6477,NH17-02 6477,170,19207.609891423886,23057888.793443125,"-80.697,31.541,-80.646,31.584"
NH17-02, 6478,NH17-02 6478,171,19207.533482247592,23057705.38201525,"-80.646,31.541,-80.595,31.584"
NH17-02, 6479,NH17-02 6479,172,19207.445907130776,23057495.168116637,"-80.595,31.541,-80.545,31.584"
NH17-02, 6480,NH17-02 6480,173,19207.347655712638,23057259.331888273,"-80.545,31.540,-80.494,31.584"
NH17-02, 6481,NH17-02 6481,174,19207.238352894026,23056996.965941235,"-80.494,31.540,-80.444,31.584"
NH17-02, 6482,NH17-02 6482,175,19207.118393662528,23056709.025119692,"-80.444,31.540,-80.393,31.583"
NH17-02, 6483,NH17-02 6483,176,19206.987185520265,23056394.08320958,"-80.393,31.540,-80.342,31.583"
NH17-02, 6484,NH17-02 6484,177,19206.845269615696,23056053.443392843,"-80.343,31.539,-80.292,31.583"
NH17-02, 6485,NH17-02 6485,178,19206.692187761455,23055686.0039299,"-80.292,31.539,-80.241,31.583"
NH17-02, 6486,NH17-02 6486,179,19206.52836655158,23055292.79154113,"-80.242,31.539,-80.191,31.582"
NH17-02, 6487,NH17-02 6487,180,19206.35367181683,23054873.481315725,"-80.191,31.538,-80.140,31.582"
NH17-02, 6488,NH17-02 6488,181,19206.168059862124,23054427.97331548,"-80.140,31.538,-80.089,31.582"
NH17-02, 6489,NH17-02 6489,182,19205.971313599202,23053955.74475682,"-80.090,31.538,-80.039,31.581"
NH17-02, 6490,NH17-02 6490,183,19205.763859708393,23053457.82048264,"-80.039,31.537,-79.988,31.581"
NH17-02, 6518,NH17-02 6518,184,2246.8374173666525,132061.2490039969,"-81.104,31.498,-81.101,31.506"
NH17-02, 6519,NH17-02 6519,185,18430.110458041832,20816533.120977893,"-81.101,31.498,-81.051,31.541"
NH17-02, 6522,NH17-02 6522,186,19207.822651748153,23058413.33336906,"-80.949,31.498,-80.899,31.541"
NH17-02, 6523,NH17-02 6523,187,19207.800870204814,23058361.048895556,"-80.899,31.498,-80.848,31.541"
NH17-02, 6524,NH17-02 6524,188,19207.768070155675,23058282.31366979,"-80.848,31.498,-80.798,31.541"
NH17-02, 6525,NH17-02 6525,189,19207.72433463655,23058177.330503732,"-80.798,31.498,-80.747,31.541"
NH17-02, 6526,NH17-02 6526,190,19207.669746662454,23058046.297768325,"-80.747,31.498,-80.697,31.541"
NH17-02, 6527,NH17-02 6527,191,19207.604223209142,23057889.015267454,"-80.697,31.498,-80.646,31.541"
NH17-02, 6528,NH17-02 6528,192,19207.52764979337,23057705.209165666,"-80.646,31.497,-80.595,31.541"
NH17-02, 6529,NH17-02 6529,193,19207.440255452948,23057495.429682415,"-80.596,31.497,-80.545,31.541"
NH17-02, 6530,NH17-02 6530,194,19207.342040182622,23057259.677837063,"-80.545,31.497,-80.494,31.541"
NH17-02, 6531,NH17-02 6531,195,19207.232743394765,23056997.325804614,"-80.495,31.497,-80.444,31.540"
NH17-02, 6532,NH17-02 6532,196,19207.112740241617,23056709.278087564,"-80.444,31.497,-80.393,31.540"
NH17-02, 6533,NH17-02 6533,197,19206.981572579767,23056394.432995114,"-80.393,31.496,-80.343,31.540"
NH17-02, 6534,NH17-02 6534,198,19206.839584046284,23056053.619081594,"-80.343,31.496,-80.292,31.540"
NH17-02, 6535,NH17-02 6535,199,19206.68654556033,23055686.28097324,"-80.292,31.496,-80.242,31.539"
NH17-02, 6536,NH17-02 6536,200,19206.522769147603,23055293.17549321,"-80.242,31.495,-80.191,31.539"
NH17-02, 6537,NH17-02 6537,201,19206.347974434382,23054873.627198637,"-80.191,31.495,-80.140,31.539"
NH17-02, 6538,NH17-02 6538,202,19206.16212978652,23054427.556762926,"-80.141,31.495,-80.090,31.538"
NH17-02, 6539,NH17-02 6539,203,19205.96574472101,23053956.19489328,"-80.090,31.494,-80.039,31.538"
NH17-02, 6540,NH17-02 6540,204,19205.75802934751,23053457.640829414,"-80.040,31.494,-79.989,31.538"
