HUC12,VALUE_0,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5
030201010605,1560000.0,0.0,0.0,0.0,20120000.0,0.0
030300020404,17440000.0,8920000.0,11680000.0,23480000.0,18840000.0,5480000.0
030202010603,9880000.0,5440000.0,5160000.0,8320000.0,21680000.0,4440000.0
030300020108,600000.0,0.0,160000.0,3040000.0,8280000.0,0.0
030401010404,360000.0,160000.0,480000.0,1920000.0,1200000.0,0.0
030401011005,12200000.0,920000.0,1440000.0,5800000.0,54800000.0,440000.0
030202010601,3640000.0,2960000.0,3200000.0,6720000.0,30240000.0,3280000.0
030401010502,320000.0,0.0,40000.0,1120000.0,4520000.0,0.0
030401011006,440000.0,0.0,160000.0,1200000.0,2560000.0,0.0
030101030204,1480000.0,0.0,0.0,0.0,23280000.0,0.0
030300020201,12640000.0,7120000.0,15680000.0,37720000.0,33280000.0,1360000.0
030201010503,2360000.0,0.0,0.0,0.0,12880000.0,0.0
030201010402,760000.0,2760000.0,3920000.0,6480000.0,1800000.0,400000.0
030202010404,7480000.0,9360000.0,7840000.0,9320000.0,6440000.0,6840000.0
030300020406,280000.0,0.0,0.0,0.0,19440000.0,0.0
030300020403,1480000.0,0.0,200000.0,2920000.0,38440000.0,0.0
030300020204,2480000.0,2840000.0,2920000.0,4080000.0,15160000.0,3160000.0
030201010401,8520000.0,1360000.0,2080000.0,5040000.0,62880000.0,1080000.0
030101030304,2200000.0,0.0,0.0,1040000.0,25920000.0,0.0
030401010903,440000.0,0.0,0.0,0.0,3840000.0,0.0
030202010301,320000.0,1040000.0,1320000.0,4880000.0,7320000.0,240000.0
030101030203,4040000.0,320000.0,1080000.0,3640000.0,55360000.0,0.0
030300020405,880000.0,3120000.0,4480000.0,8720000.0,19080000.0,1200000.0
030401011004,1040000.0,120000.0,520000.0,1440000.0,34120000.0,0.0
030300020207,800000.0,0.0,0.0,160000.0,2480000.0,0.0
030202010202,520000.0,2040000.0,3600000.0,11280000.0,13800000.0,960000.0
030101030201,2520000.0,240000.0,880000.0,2200000.0,63760000.0,0.0
030101030202,5280000.0,2360000.0,2760000.0,8400000.0,36280000.0,2040000.0
030401010504,4040000.0,640000.0,1400000.0,3920000.0,21200000.0,80000.0
