Unique,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
251,577,23079999.99999999,4,5,1,4.946273830155979,0.2254765365130326,2854.0,2,5,4,5
252,577,23079999.99999999,4,4,0,4.0,0.0,2308.0,1,4,4,4
253,577,23079999.99999999,4,4,0,4.0,0.0,2308.0,1,4,4,4
254,576,23039999.99999999,4,4,0,4.0,0.0,2304.0,1,4,4,4
255,576,23039999.99999999,4,5,1,4.173611111111111,0.3787747262026327,2404.0,2,4,5,4
256,575,22999999.99999999,4,4,0,4.0,0.0,2300.0,1,4,4,4
257,580,23199999.99999999,4,4,0,4.0,0.0,2320.0,1,4,4,4
258,576,23039999.99999999,3,4,1,3.8177083333333335,0.3860847250676405,2199.0,2,4,3,4
259,576,23039999.99999999,4,4,0,4.0,0.0,2304.0,1,4,4,4
260,576,23039999.99999999,4,5,1,4.097222222222222,0.2962601251069635,2360.0,2,4,5,4
261,576,23039999.99999999,4,5,1,4.779513888888889,0.4145744636590748,2753.0,2,5,4,5
262,579,23159999.99999999,5,5,0,5.0,0.0,2895.0,1,5,5,5
263,575,22999999.99999999,4,5,1,4.288695652173913,0.4531561238577636,2466.0,2,4,5,4
264,576,23039999.99999999,3,4,1,3.5086805555555554,0.4999246422764611,2021.0,2,4,3,4
265,577,23079999.99999999,3,3,0,3.0,0.0,1731.0,1,3,3,3
266,576,23039999.99999999,3,3,0,3.0,0.0,1728.0,1,3,3,3
267,578,23119999.99999999,2,3,1,2.7698961937716264,0.4208990907421729,1601.0,2,3,2,3
268,375,14999999.999999993,5,5,0,5.0,0.0,1875.0,1,5,5,5
269,577,23079999.99999999,5,5,0,5.0,0.0,2885.0,1,5,5,5
270,577,23079999.99999999,5,5,0,5.0,0.0,2885.0,1,5,5,5
271,576,23039999.99999999,5,5,0,5.0,0.0,2880.0,1,5,5,5
272,577,23079999.99999999,4,5,1,4.714038128249567,0.45187130873227743,2720.0,2,5,4,5
273,577,23079999.99999999,4,4,0,4.0,0.0,2308.0,1,4,4,4
274,576,23039999.99999999,4,4,0,4.0,0.0,2304.0,1,4,4,4
275,577,23079999.99999999,4,4,0,4.0,0.0,2308.0,1,4,4,4
276,576,23039999.99999999,4,4,0,4.0,0.0,2304.0,1,4,4,4
277,577,23079999.99999999,4,4,0,4.0,0.0,2308.0,1,4,4,4
278,576,23039999.99999999,4,4,0,4.0,0.0,2304.0,1,4,4,4
279,577,23079999.99999999,4,4,0,4.0,0.0,2308.0,1,4,4,4
280,576,23039999.99999999,4,5,1,4.022569444444445,0.14852630952768697,2317.0,2,4,5,4
281,576,23039999.99999999,4,5,1,4.911458333333333,0.2840810446519717,2829.0,2,5,4,5
282,576,23039999.99999999,5,5,0,5.0,0.0,2880.0,1,5,5,5
283,577,23079999.99999999,4,5,1,4.9896013864818025,0.10144201474289043,2879.0,2,5,4,5
284,577,23079999.99999999,3,5,2,4.116117850953207,0.3310089192987775,2375.0,3,4,3,4
285,576,23039999.99999999,3,4,1,3.376736111111111,0.48456786283861963,1945.0,2,3,4,3
286,576,23039999.99999999,3,3,0,3.0,0.0,1728.0,1,3,3,3
287,575,22999999.99999999,2,3,1,2.836521739130435,0.36980145901906153,1631.0,2,3,2,3
288,578,23119999.99999999,2,3,1,2.1193771626297577,0.3242317931237251,1225.0,2,2,3,2
289,1,39999.99999999998,5,5,0,5.0,0.0,5.0,1,5,5,5
290,577,23079999.99999999,5,5,0,5.0,0.0,2885.0,1,5,5,5
291,575,22999999.99999999,5,5,0,5.0,0.0,2875.0,1,5,5,5
292,578,23119999.99999999,4,4,0,4.0,0.0,2312.0,1,4,4,4
293,577,23079999.99999999,4,4,0,4.0,0.0,2308.0,1,4,4,4
294,576,23039999.99999999,4,4,0,4.0,0.0,2304.0,1,4,4,4
295,576,23039999.99999999,4,4,0,4.0,0.0,2304.0,1,4,4,4
296,577,23079999.99999999,4,4,0,4.0,0.0,2308.0,1,4,4,4
297,577,23079999.99999999,4,4,0,4.0,0.0,2308.0,1,4,4,4
298,576,23039999.99999999,4,4,0,4.0,0.0,2304.0,1,4,4,4
299,576,23039999.99999999,4,4,0,4.0,0.0,2304.0,1,4,4,4
300,577,23079999.99999999,4,4,0,4.0,0.0,2308.0,1,4,4,4
301,577,23079999.99999999,4,4,0,4.0,0.0,2308.0,1,4,4,4
