HUC12,HU_12_NAME,SUBREGION,BASIN,SUBBASIN,Shape_Length,Shape_Area,bounds
030300040705,Headwaters Locks Creek,Cape Fear,Cape Fear,Upper Cape Fear,54001.685549436086,110308694.15625,"-78.859,35.029,-78.706,35.155"
030501020601,Hoyle Creek,Edisto-Santee,Santee,South Fork Catawba,48731.62640117308,71835862.0546875,"-81.209,35.331,-81.093,35.490"
030203010604,Town of Marshallberg-Great Shoal,Neuse-Pamlico,Onslow Bay,White Oak River,58056.34590720242,144124701.6796875,"-76.550,34.645,-76.371,34.793"
030203020101,Town of Richlands-Squires Run,Neuse-Pamlico,Onslow Bay,New River,32527.48347228428,43695479.8671875,"-77.604,34.875,-77.522,34.975"
030402030101,Jackson Creek,Pee Dee,Lower Pee Dee,Lumber,36807.163573284706,71071668.0,"-79.646,35.165,-79.556,35.282"
030203020102,Headwaters New River,Neuse-Pamlico,Onslow Bay,New River,51854.42004375973,92023172.9140625,"-77.690,34.843,-77.536,34.985"
030401050403,Little Bear Creek,Pee Dee,Upper Pee Dee,Rocky,37784.14055257714,32397209.5703125,"-80.302,35.261,-80.251,35.380"
030300040303,Crystal Lake-Mill Creek,Cape Fear,Cape Fear,Upper Cape Fear,36642.93382958143,51835491.671875,"-79.428,35.168,-79.304,35.247"
030300070303,Lower Limestone Creek,Cape Fear,Cape Fear,Northeast Cape Fear,42937.18831427797,70166734.875,"-77.841,34.897,-77.755,35.016"
030203010202,Hunters Creek,Neuse-Pamlico,Onslow Bay,White Oak River,50715.64325905495,88087040.0859375,"-77.170,34.782,-76.999,34.904"
030401040204,Clarks Creek,Pee Dee,Upper Pee Dee,Upper Pee Dee,52584.10489164481,85907744.25,"-80.061,35.183,-79.964,35.348"
030300060302,Mill Swamp-Little Coharie Creek,Cape Fear,Cape Fear,Black,48340.46502159215,70318630.7265625,"-78.575,35.013,-78.467,35.139"
030203010404,Harlowe Creek,Neuse-Pamlico,Onslow Bay,White Oak River,23683.608183174398,32211195.234375,"-76.771,34.779,-76.704,34.850"
030300060107,Jones Swamp-South River,Cape Fear,Cape Fear,Black,66214.30635157843,107146320.1796875,"-78.705,34.982,-78.567,35.151"
030501050305,Upper Cove Creek,Edisto-Santee,Santee,Upper Broad,54193.021280221925,111093505.953125,"-82.155,35.453,-82.014,35.611"
030402030102,Headwaters Drowning Creek,Pee Dee,Lower Pee Dee,Lumber,51677.51064367945,95948320.6171875,"-79.744,35.157,-79.615,35.306"
030300040301,Nicks Creek,Cape Fear,Cape Fear,Upper Cape Fear,45689.00605327333,71394972.859375,"-79.572,35.191,-79.398,35.266"
030401050101,Clarke Creek,Pee Dee,Upper Pee Dee,Rocky,39015.01217792577,72934100.140625,"-80.845,35.369,-80.728,35.458"
030501050402,Cane Creek,Edisto-Santee,Santee,Upper Broad,56837.46531632891,65577430.53125,"-81.899,35.424,-81.821,35.588"
030300070206,Dark Branch-Northeast Cape Fear River,Cape Fear,Cape Fear,Northeast Cape Fear,35216.12061056285,49289333.5,"-77.927,34.969,-77.790,35.035"
030300040405,Tank Creek-Little River,Cape Fear,Cape Fear,Upper Cape Fear,39806.05716482603,54676122.1328125,"-79.070,35.120,-78.961,35.210"
030203010405,Core Creek,Neuse-Pamlico,Onslow Bay,White Oak River,27811.105529156062,32709708.1953125,"-76.720,34.774,-76.651,34.855"
